-50		75		-110		2		2		2		18		1
-30		75		-110		2		2		2		19		1
-10		75		-110		2		2		2		20		1

-15		70		-150		5		5		5		33		1
-30		70		-150		5		5		5		34		1
-45		70		-150		5		5		5		35		1
-60		70		-150		5		5		5		36		1
-75		70		-150		5		5		5		37		1
-90		70		-150		5		5		5		38		1
-105	70		-150		5		5		5		39		1
-120	70		-150		5		5		5		40		1
-135	70		-150		5		5		5		41		1
-150	70		-150		5		5		5		42		1

-200	70		-150		5		5		5		43		1
-250	70		-150		5		5		5		44		1
-300	70		-150		5		5		5		45		1
-350 	70		-150		5		5		5		46		1
-400	70		-150		5		5		5		47		1
-450	70		-150		5		5		5		48		1
-500	70		-150		5		5		5		49		1
-550	70		-150		5		5		5		50		1
-600	70		-150		5		5		5		51		1
-650	70		-150		5		5		5		52		1
-700	70		-150		5		5		5		53		1
-750	70		-150		5		5		5		54		1
-800	70		-150		5		5		5		55		1
-850	70		-150		5		5		5		56		1
-900	70		-150		5		5		5		57		1
-950	70		-150		5		5		5		58		1

//PosX,		PosY,		PosZ,		ScaleX,		ScaleY,		ScaleZ,		GeoType,	Active
//GEOTYPE 18 == MIN SECURITY
//GEOTYPE 19 == MED SECURITY
//GEOTYPE 20 == MAX SECURITY

//Geotype 33	= BATON
//Geotype 34	= CHAIR
//Geotype 35	= FLASHLIGHT
//Geotype 36	= CARROT
//Geotype 37	= CONTAINER
//Geotype 38	= DONUT
//Geotype 39	= ORANGE
//Geotype 40	= RICE
//Geotype 41	= FORK
//Geotype 42	= SPOON

//Geotype 43	= BOOK_1
//Geotype 44	= BOOK_2
//Geotype 45	= BOOKSHELF
//Geotype 46	= COMPUTER MONITOR 1
//Geotype 47	= COMPUTER MONITOR 2
//Geotype 48	= CUPBOARD 1
//Geotype 49	= CUPBOARD 2
//Geotype 50	= HANGING LIGHT
//Geotype 51	= PLYER
//Geotype 52	= POSTER 1
//Geotype 53	= POSTER 2
//Geotype 54	= RAILING
//Geotype 55	= REFRIGERATOR
//Geotype 56	= SCREWDRIVER
//Geotype 57	= TOILET
//Geotype 58	= WINDOW
