-306		68		145		42		50		2		105			150			6			7		1
-306		145		70		42		2		50		105			6			150			7		1
-370		68		70		2		50		50		6			150			150			7		1
-341		70		0		21		50		2		75			150			6			7		1
-251		68		70		2		50		50		6			150			150			7		1
-256		5		0		5		50		2		15			150			6			7		1
-286		120		0		15		15		2		45			45			6			7		1
-286		65		0		10		8		15		30			24			45			14		1
-331		50		100		5		5		5		15			15			15			16		1

-178		68		145		42		50		2		105			150			6			7		1
-178		145		70		42		2		50		105			6			150			7		1
-242		68		70		2		50		50		6			150			150			7		1
-213		70		0		21		50		2		75			150			6			7		1
-123		68		70		2		50		50		6			150			150			7		1
-128		5		0		5		50		2		15			150			6			7		1
-158		120		0		15		15		2		45			45			6			7		1
-158		65		0		10		8		15		30			24			45			14		1
-203		50		100		5		5		5		15			15			15			16		1

-50		68		145		42		50		2		105			150			6			7		1
-50		145		70		42		2		50		105			6			150			7		1
-114	68		70		2		50		50		6			150			150			7		1
-85		70		0		21		50		2		75			150			6			7		1
5		68		70		2		50		50		6			150			150			7		1
0		5		0		5		50		2		15			150			6			7		1
-30		120		0		15		15		2		45			45			6			7		1
-30		65		0		10		8		15		30			24			45			14		1
-75		50		100		5		5		5		15			15			15			16		1

78		68		145		42		50		2		105			150			6			7		1
78		145		70		42		2		50		105			6			150			7		1
14		68		70		2		50		50		6			150			150			7		1
43		70		0		21		50		2		75			150			6			7		1
133		68		70		2		50		50		6			150			150			7		1
128		5		0		5		50		2		15			150			6			7		1
98		120		0		15		15		2		45			45			6			7		1
98		65		0		10		8		15		30			24			45			14		1
53		50		100		5		5		5		15			15			15			16		1

206		68		145		42		50		2		105			150			6			7		1
206		145		70		42		2		50		105			6			150			7		1
142		68		70		2		50		50		6			150			150			7		1
171		70		0		21		50		2		75			150			6			7		1
259		68		70		2		50		50		6			150			150			7		1
256		5		0		5		50		2		15			150			6			7		1
226		120		0		15		15		2		45			45			6			7		1
226		65		0		10		8		15		30			24			45			14		1
181		50		100		5		5		5		15			15			15			16		1

0		50		0		10		10		10		20			0			0			12		1
50		0		0		4		4		4		0			0			0			14		1
11		8		0		5		5		5		0			0			0			13		1
0		8		0		5		5		5		0			0			0			13		1
//PosX, PosY,   PosZ,   ScaleX,	ScaleY,	ScaleZ,	OffsetX,    OffsetY,    OffsetZ,    GeoType,Active

//Geotype 7 	= WALL
//Geotype 8 	= DOOR
//Geotype 9 	= BENCH
//Geotype 10	= TABLE
//Geotype 11	= TOILET
//Geotype 12	= CCTV
//Geotype 13	= DESK
//Geotype 14	= CELL_DOOR
//Geotype 15	= SEC_DOOR
//Geotype 16	= BED
//Geotype 17	= STOOL
//Geotype 18	= MIN_SEC_KEY
//Geotype 19	= MED_SEC_KEY
//Geotype 20	= MAX_SEC_KEY
//Geotype 21	= INMATE_ARM
//Geotype 22	= INMATE_LEG
//Geotype 23	= INMATE_BODY
//Geotype 24	= INMATE_HEAD
//Geotype 25	= GUARD_ARM
//Geotype 26	= GUARD_LEG
//Geotype 27	= GUARD_BODY
//Geotype 28	= GUARD_HEAD
//Geotype 29	= WARDEN_ARM
//Geotype 30	= WARDEN_LEG
//Geotype 31	= WARDEN_BODY
//Geotype 32	= WARDEN_HEAD
