233		100		-850		22		22		22		62			1
233		100		-870		22		22		22		62			1
233		100		-890		22		22		22		62			1
233		100		-910		22		22		22		62			1
233		100		-930		22		22		22		62			1
233		100		-950		22		22		22		62			1
233		95		-850		22		22		22		62			1
233		95		-870		22		22		22		62			1
233		95		-890		22		22		22		62			1
233		95		-910		22		22		22		62			1
233		95		-930		22		22		22		62			1
233		95		-950		22		22		22		62			1
233		90		-850		22		22		22		62			1
233		90		-870		22		22		22		62			1
233		90		-890		22		22		22		62			1
233		90		-910		22		22		22		62			1
233		90		-930		22		22		22		62			1
233		90		-950		22		22		22		62			1
233		85		-850		22		22		22		62			1
233		85		-870		22		22		22		62			1
233		85		-890		22		22		22		62			1
233		85		-910		22		22		22		62			1
233		85		-930		22		22		22		62			1
233		85		-950		22		22		22		62			1
233		80		-850		22		22		22		62			1
233		80		-870		22		22		22		62			1
233		80		-890		22		22		22		62			1
233		80		-910		22		22		22		62			1
233		80		-930		22		22		22		62			1
233		80		-950		22		22		22		62			1
233		75		-850		22		22		22		62			1
233		75		-870		22		22		22		62			1
233		75		-890		22		22		22		62			1
233		75		-910		22		22		22		62			1
233		75		-930		22		22		22		62			1
233		75		-950		22		22		22		62			1
233		70		-850		22		22		22		62			1
233		70		-870		22		22		22		62			1
233		70		-890		22		22		22		62			1
233		70		-910		22		22		22		62			1
233		70		-930		22		22		22		62			1
233		70		-950		22		22		22		62			1
233		65		-850		22		22		22		62			1
233		65		-870		22		22		22		62			1
233		65		-890		22		22		22		62			1
233		65		-910		22		22		22		62			1
233		65		-930		22		22		22		62			1
233		65		-950		22		22		22		62			1

233		95		-850		22		22		22		62			1
233		90		-850		22		22		22		62			1
233		85		-850		22		22		22		62			1
233		80		-850		22		22		22		62			1
233		75		-850		22		22		22		62			1
233		70		-850		22		22		22		62			1
233		65		-850		22		22		22		62			1
233		60		-850		22		22		22		62			1
233		55		-850		22		22		22		62			1
233		50		-850		22		22		22		62			1

233		95		-950		22		22		22		62			1
233		90		-950		22		22		22		62			1
233		85		-950		22		22		22		62			1
233		80		-950		22		22		22		62			1
233		75		-950		22		22		22		62			1
233		70		-950		22		22		22		62			1
233		65		-950		22		22		22		62			1
233		60		-950		22		22		22		62			1
233		55		-950		22		22		22		62			1
233		50		-950		22		22		22		62			1
//PosX,		PosY,		PosZ,		ScaleX,		ScaleY,		ScaleZ,		GeoType,		Active

// Geotype 62	= Laser
