0	120	-600	90	1		0		0		600	10	2	1200		20		4		7		1
0	60	-600	90	1		0		0		150	30	2	300		60		4		7		1
500	60	-600	90	1		0		0		150	30	2	300		60		4		7		1
840	60	-600	90	1		0		0		40	30	2	80		60		4		7		1
-585	60	-600	90	1		0		0		210	30	2	420		60		4		7		1
0	90	-1200	90	1		0		0		600	30	2	1200		60		4		7		1
900	90	-900	90	1		0		0		2	30	200	4		60		400		7		1
-900	90	-900	90	1		0		0		2	30	200	4		60		400		7		1
450	120	-900	90	1		0		0		2	10	200	4		20		400		7		1
0	120	-900	90	1		0		0		2	10	200	4		20		400		7		1
450	60	-1065	90	1		0		0		2	30	90	4		60		180		7		1
0	60	-1065	90	1		0		0		2	30	90	4		60		180		7		1
450	60	-735	90	1		0		0		2	30	90	4		60		180		7		1
0	60	-735	90	1		0		0		2	30	90	4		60		180		7		1
0	135	-900	90	1		0		0		600	2	200	1200		4		400		7		1

0	120	400	90	1		0		0		600	10	2	1200		20		4		7		1
0	60	400	90	1		0		0		150	30	2	300		60		4		7		1
500	60	400	90	1		0		0		150	30	2	300		60		4		7		1
840	60	400	90	1		0		0		40	30	2	80		60		4		7		1
-585	60	400	90	1		0		0		210	30	2	420		60		4		7		1
0	90	1000	90	1		0		0		600	30	2	1200		60		4		7		1
900	90	700	90	1		0		0		2	30	200	4		60		400		7		1
-900	90	700	90	1		0		0		2	30	200	4		60		400		7		1
0	135	700	90	1		0		0		600	2	200	1200		4		400		7		1
//PosX,	PosY,	PosZ,	Angle,	RotateX,	RotateY,	RotateZ,	ScaleX,	ScaleY,	ScaleZ,	OffsetX,	OffsetY,	OffsetZ,	GeoType,	Active

//Geotype 7 	= WALL
//Geotype 8 	= DOOR
//Geotype 9 	= BENCH
//Geotype 10	= TABLE
//Geotype 11	= TOILET
//Geotype 12	= CCTV
//Geotype 13	= DESK
//Geotype 14	= CELL_DOOR
//Geotype 15	= MIN_SEC_DOOR
//Geotype 16	= MED_SEC_DOOR
//Geotype 17	= MAX_SEC_DOOR
//Geotype 18	= BED
//Geotype 19	= STOOL
//Geotype 20	= MIN_SEC_KEY
//Geotype 21	= MED_SEC_KEY
//Geotype 22	= MAX_SEC_KEY
//Geotype 23	= INMATE_ARM
//Geotype 24	= INMATE_LEG
//Geotype 25	= INMATE_BODY
//Geotype 26	= INMATE_HEAD
//Geotype 27	= GUARD_ARM
//Geotype 28	= GUARD_LEG
//Geotype 29	= GUARD_BODY
//Geotype 30	= GUARD_HEAD
//Geotype 31	= WARDEN_ARM
//Geotype 32	= WARDEN_LEG
//Geotype 33	= WARDEN_BODY
//Geotype 34	= WARDEN_HEAD
//Geotype 35	= BATON
//Geotype 36	= CHAIR
//Geotype 37	= FLASHLIGHT
//Geotype 38	= CARROT
//Geotype 39	= CONTAINER
//Geotype 40	= DONUT
//Geotype 41	= ORANGE
//Geotype 42	= RICE
//Geotype 43	= FORK
//Geotype 44	= SPOON
//Geotype 45	= BOOK_1
//Geotype 46	= BOOK_2
//Geotype 47	= BOOKSHELF
//Geotype 48	= COMPUTER MONITOR 1
//Geotype 49	= COMPUTER MONITOR 2
//Geotype 50	= CUPBOARD 1
//Geotype 51	= CUPBOARD 2
//Geotype 52	= HANGING LIGHT
//Geotype 53	= PLYER
//Geotype 54	= POSTER 1
//Geotype 55	= POSTER 2
//Geotype 56	= RAILING
//Geotype 57	= REFRIGERATOR
//Geotype 58	= SCREWDRIVER
//Geotype 59	= TOILET
//Geotype 60	= WINDOW
